movieId,title,avg_rating,num_votes
4995,"Beautiful Mind, A",4.0,123
1206,"Clockwork Orange, A",4.0,120
68954,Up,4.0,105
2692,Run Lola Run (Lola rennt),4.0,75
51255,Hot Fuzz,4.0,61
457,"Fugitive, The",3.99,190
91529,"Dark Knight Rises, The",3.99,76
109487,Interstellar,3.99,73
1278,Young Frankenstein,3.99,69
1394,Raising Arizona,3.99,58
47,Seven (a.k.a. Se7en),3.98,203
32,Twelve Monkeys (a.k.a. 12 Monkeys),3.98,177
4878,Donnie Darko,3.98,109
1234,"Sting, The",3.98,64
1090,Platoon,3.98,63
589,Terminator 2: Judgment Day,3.97,224
1214,Alien,3.97,146
6502,28 Days Later,3.97,58
2804,"Christmas Story, A",3.97,55
6377,Finding Nemo,3.96,141
6874,Kill Bill: Vol. 1,3.96,131
1200,Aliens,3.96,126
1246,Dead Poets Society,3.96,86
6,Heat,3.95,102
2997,Being John Malkovich,3.95,99
1653,Gattaca,3.95,86
48774,Children of Men,3.95,64
364,"Lion King, The",3.94,172
3578,Gladiator,3.94,170
1265,Groundhog Day,3.94,143
49272,Casino Royale,3.94,81
99114,Django Unchained,3.94,71
2194,"Untouchables, The",3.94,65
1035,"Sound of Music, The",3.94,64
1304,Butch Cassidy and the Sundance Kid,3.94,62
3671,Blazing Saddles,3.94,62
76093,How to Train Your Dragon,3.94,53
34405,Serenity,3.94,50
1080,Monty Python's Life of Brian,3.93,89
16,Casino,3.93,82
4262,Scarface,3.93,67
1,Toy Story,3.92,215
5989,Catch Me If You Can,3.92,115
1732,"Big Lebowski, The",3.92,106
3949,Requiem for a Dream,3.92,96
1079,"Fish Called Wanda, A",3.92,71
106782,"Wolf of Wall Street, The",3.92,54
8368,Harry Potter and the Prisoner of Azkaban,3.91,93
88125,Harry Potter and the Deathly Hallows: Part 2,3.91,50
1240,"Terminator, The",3.9,131
4034,Traffic,3.9,70
55820,No Country for Old Men,3.9,64
7143,"Last Samurai, The",3.9,62
2762,"Sixth Sense, The",3.89,179
924,2001: A Space Odyssey,3.89,109
1028,Mary Poppins,3.89,71
69844,Harry Potter and the Half-Blood Prince,3.89,58
80463,"Social Network, The",3.89,57
33166,Crash,3.89,50
44191,V for Vendetta,3.88,100
919,"Wizard of Oz, The",3.88,92
1356,Star Trek: First Contact,3.88,91
46578,Little Miss Sunshine,3.88,77
71535,Zombieland,3.88,53
4306,Shrek,3.87,170
4886,"Monsters, Inc.",3.87,132
1073,Willy Wonka & the Chocolate Factory,3.87,119
7438,Kill Bill: Vol. 2,3.87,110
1610,"Hunt for Red October, The",3.87,90
3897,Almost Famous,3.87,83
50872,Ratatouille,3.87,72
89745,"Avengers, The",3.87,69
1230,Annie Hall,3.87,58
1036,Die Hard,3.86,145
33794,Batman Begins,3.86,116
223,Clerks,3.86,104
3114,Toy Story 2,3.86,97
2791,Airplane!,3.86,87
1307,When Harry Met Sally...,3.86,85
32587,Sin City,3.86,84
2700,"South Park: Bigger, Longer and Uncut",3.86,76
68358,Star Trek,3.86,59
54001,Harry Potter and the Order of the Phoenix,3.86,58
54503,Superbad,3.86,55
150,Apollo 13,3.85,201
73017,Sherlock Holmes,3.85,58
30707,Million Dollar Baby,3.85,52
590,Dances with Wolves,3.84,164
8961,"Incredibles, The",3.84,125
4963,Ocean's Eleven,3.84,119
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long)",3.84,110
2918,Ferris Bueller's Day Off,3.84,109
36,Dead Man Walking,3.84,67
2947,Goldfinger,3.84,53
4848,Mulholland Drive,3.84,51
7147,Big Fish,3.83,69
1954,Rocky,3.83,64
122904,Deadpool,3.83,54
2078,"Jungle Book, The",3.83,53
3552,Caddyshack,3.83,52
5418,"Bourne Identity, The",3.82,112
59315,Iron Man,3.82,94
40815,Harry Potter and the Goblet of Fire,3.82,71
553,Tombstone,3.82,65
1682,"Truman Show, The",3.81,125
1961,Rain Man,3.81,96
4027,"O Brother, Where Art Thou?",3.81,94
1220,"Blues Brothers, The",3.81,84
48394,"Pan's Labyrinth (Laberinto del fauno, El)",3.81,81
63082,Slumdog Millionaire,3.81,71
4239,Blow,3.81,51
5010,Black Hawk Down,3.81,50
96079,Skyfall,3.81,50
8636,Spider-Man 2,3.8,79
555,True Romance,3.8,65
2529,Planet of the Apes,3.8,56
1997,"Exorcist, The",3.8,53
588,Aladdin,3.79,183
8665,"Bourne Supremacy, The",3.79,75
3535,American Psycho,3.79,59
6942,Love Actually,3.79,59
2268,"Few Good Men, A",3.79,57
4776,Training Day,3.79,51
6539,Pirates of the Caribbean: The Curse of the Black Pearl,3.78,149
2716,Ghostbusters (a.k.a. Ghost Busters),3.78,120
1968,"Breakfast Club, The",3.78,113
2396,Shakespeare in Love,3.78,92
17,Sense and Sensibility,3.78,67
70286,District 9,3.78,65
5669,Bowling for Columbine,3.78,58
1282,Fantasia,3.78,53
109374,"Grand Budapest Hotel, The",3.78,52
333,Tommy Boy,3.78,50
595,Beauty and the Beast,3.77,146
1097,E.T. the Extra-Terrestrial,3.77,122
337,What's Eating Gilbert Grape,3.77,77
56367,Juno,3.77,65
1374,Star Trek II: The Wrath of Khan,3.77,62
8641,Anchorman: The Legend of Ron Burgundy,3.77,57
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone),3.76,107
1641,"Full Monty, The",3.76,56
49530,Blood Diamond,3.76,53
480,Jurassic Park,3.75,238
1527,"Fifth Element, The",3.75,116
3471,Close Encounters of the Third Kind,3.74,60
1466,Donnie Brasco,3.74,52
2797,Big,3.72,91
6333,X2: X-Men United,3.72,76
62,Mr. Holland's Opus,3.71,80
3160,Magnolia,3.71,52
6870,Mystic River,3.71,52
3793,X-Men,3.7,133
4022,Cast Away,3.7,100
1784,As Good as It Gets,3.7,96
54286,"Bourne Ultimatum, The",3.7,81
2291,Edward Scissorhands,3.7,80
1625,"Game, The",3.7,77
5218,Ice Age,3.69,85
474,In the Line of Fire,3.69,70
3421,Animal House,3.69,62
3911,Best in Show,3.69,53
1923,There's Something About Mary,3.68,105
51662,300,3.68,80
235,Ed Wood,3.68,70
4979,"Royal Tenenbaums, The",3.68,68
2000,Lethal Weapon,3.67,75
3481,High Fidelity,3.67,75
11,"American President, The",3.67,70
2599,Election,3.66,56
34,Babe,3.65,128
2916,Total Recall,3.65,88
1584,Contact,3.65,82
3052,Dogma,3.65,79
52973,Knocked Up,3.65,52
733,"Rock, The",3.64,121
5445,Minority Report,3.64,120
2115,Indiana Jones and the Temple of Doom,3.64,108
161,Crimson Tide,3.64,103
69122,"Hangover, The",3.63,76
4720,"Others, The",3.63,55
594,Snow White and the Seven Dwarfs,3.62,77
25,Leaving Las Vegas,3.62,76
4246,Bridget Jones's Diary,3.62,65
6378,"Italian Job, The",3.62,59
508,Philadelphia,3.61,66
353,"Crow, The",3.61,64
2640,Superman,3.61,61
1500,Grosse Pointe Blank,3.61,59
349,Clear and Present Danger,3.6,110
5816,Harry Potter and the Chamber of Secrets,3.6,102
72998,Avatar,3.6,97
1393,Jerry Maguire,3.59,85
4308,Moulin Rouge,3.59,55
8360,Shrek 2,3.58,92
3175,Galaxy Quest,3.58,75
3527,Predator,3.58,61
1639,Chasing Amy,3.58,52
2987,Who Framed Roger Rabbit?,3.57,97
2005,"Goonies, The",3.57,57
165,Die Hard: With a Vengeance,3.56,144
163,Desperado,3.56,66
551,"Nightmare Before Christmas, The",3.55,93
3751,Chicken Run,3.55,78
440,Dave,3.55,76
35836,"40-Year-Old Virgin, The",3.55,74
648,Mission: Impossible,3.54,162
5349,Spider-Man,3.54,122
1517,Austin Powers: International Man of Mystery,3.54,100
509,"Piano, The",3.54,61
2395,Rushmore,3.54,56
225,Disclosure,3.54,52
377,Speed,3.53,171
454,"Firm, The",3.53,101
3408,Erin Brockovich,3.53,70
2572,10 Things I Hate About You,3.53,54
357,Four Weddings and a Funeral,3.52,103
2355,"Bug's Life, A",3.52,92
300,Quiz Show,3.52,81
1302,Field of Dreams,3.52,56
5956,Gangs of New York,3.52,55
2011,Back to the Future Part II,3.51,87
45722,Pirates of the Caribbean: Dead Man's Chest,3.51,72
34162,Wedding Crashers,3.51,58
70,From Dusk Till Dawn,3.51,55
4816,Zoolander,3.51,54
8464,Super Size Me,3.51,50
380,True Lies,3.5,178
10,GoldenEye,3.5,132
368,Maverick,3.5,74
1580,Men in Black (a.k.a. MIB),3.49,165
597,Pretty Woman,3.49,135
21,Get Shorty,3.49,89
141,"Birdcage, The",3.49,86
2353,Enemy of the State,3.49,67
8644,"I, Robot",3.49,61
3994,Unbreakable,3.48,73
1127,"Abyss, The",3.48,62
3081,Sleepy Hollow,3.48,62
56174,I Am Legend,3.48,62
2321,Pleasantville,3.48,61
3253,Wayne's World,3.48,61
3033,Spaceballs,3.48,59
539,Sleepless in Seattle,3.47,106
339,While You Were Sleeping,3.47,98
2174,Beetlejuice,3.47,91
253,Interview with the Vampire: The Vampire Chronicles,3.46,109
2671,Notting Hill,3.46,56
2712,Eyes Wide Shut,3.46,53
780,Independence Day (a.k.a. ID4),3.45,202
3753,"Patriot, The",3.45,68
596,Pinocchio,3.45,60
2406,Romancing the Stone,3.45,54
104,Happy Gilmore,3.44,99
41566,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The",3.44,62
53125,Pirates of the Caribbean: At World's End,3.44,56
59784,Kung Fu Panda,3.44,54
91500,The Hunger Games,3.44,54
592,Batman,3.43,189
587,Ghost,3.43,115
2,Jumanji,3.43,110
292,Outbreak,3.43,101
33493,Star Wars: Episode III - Revenge of the Sith,3.43,78
2081,"Little Mermaid, The",3.43,67
3948,Meet the Parents,3.42,91
1777,"Wedding Singer, The",3.42,56
1721,Titanic,3.41,140
1645,The Devil's Advocate,3.41,51
266,Legends of the Fall,3.4,68
1370,Die Hard 2,3.4,68
6863,School of Rock,3.4,66
2080,Lady and the Tramp,3.4,55
500,Mrs. Doubtfire,3.39,144
329,Star Trek: Generations,3.39,108
708,"Truth About Cats & Dogs, The",3.39,58
350,"Client, The",3.39,57
316,Stargate,3.38,140
2706,American Pie,3.38,103
2012,Back to the Future Part III,3.37,88
1573,Face/Off,3.37,77
2985,RoboCop,3.37,70
2167,Blade,3.36,58
3489,Hook,3.36,53
45499,X-Men: The Last Stand,3.36,52
6365,"Matrix Reloaded, The",3.35,96
48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,3.35,65
2657,"Rocky Horror Picture Show, The",3.34,63
1608,Air Force One,3.34,58
4370,A.I. Artificial Intelligence,3.34,56
2105,Tron,3.34,50
1676,Starship Troopers,3.33,80
736,Twister,3.32,123
6373,Bruce Almighty,3.32,71
1101,Top Gun,3.3,83
39,Clueless,3.29,104
33679,Mr. & Mrs. Smith,3.28,59
5299,My Big Fat Greek Wedding,3.27,60
552,"Three Musketeers, The",3.26,61
2302,My Cousin Vinny,3.26,59
3,Grumpier Old Men,3.26,52
145,Bad Boys,3.25,51
288,Natural Born Killers,3.23,92
3717,Gone in 60 Seconds,3.22,61
2683,Austin Powers: The Spy Who Shagged Me,3.2,121
317,"Santa Clause, The",3.2,81
1407,Scream,3.2,70
7,Sabrina,3.19,54
367,"Mask, The",3.18,157
2470,Crocodile Dundee,3.18,57
5502,Signs,3.17,63
5378,Star Wars: Episode II - Attack of the Clones,3.16,92
4447,Legally Blonde,3.16,64
6934,"Matrix Revolutions, The",3.15,79
48,Pocahontas,3.15,68
34048,War of the Worlds,3.15,50
1380,Grease,3.14,68
4018,What Women Want,3.14,54
520,Robin Hood: Men in Tights,3.13,69
2617,"Mummy, The",3.12,87
2100,Splash,3.12,51
2424,You've Got Mail,3.12,50
2628,Star Wars: Episode I - The Phantom Menace,3.11,140
786,Eraser,3.11,64
410,Addams Family Values,3.1,84
2006,"Mask of Zorro, The",3.1,60
1391,Mars Attacks!,3.09,86
442,Demolition Man,3.09,81
653,Dragonheart,3.09,65
168,First Knight,3.08,54
231,Dumb & Dumber (Dumb and Dumber),3.06,133
370,Naked Gun 33 1/3: The Final Insult,3.06,58
1917,Armageddon,3.05,92
4025,Miss Congeniality,3.05,64
8361,"Day After Tomorrow, The",3.05,50
344,Ace Ventura: Pet Detective,3.04,161
185,"Net, The",3.04,112
434,Cliffhanger,3.03,101
1485,Liar Liar,3.03,74
1552,Con Air,3.03,59
95,Broken Arrow,3.02,84
1377,Batman Returns,3.02,60
586,Home Alone,3.0,116
30793,Charlie and the Chocolate Factory,3.0,61
5459,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2),2.96,61
485,Last Action Hero,2.93,53
153,Batman Forever,2.92,137
3785,Scary Movie,2.92,50
208,Waterworld,2.91,115
160,Congo,2.88,57
466,Hot Shots! Part Deux,2.87,60
5481,Austin Powers in Goldmember,2.85,65
158,Casper,2.81,62
784,"Cable Guy, The",2.81,54
2699,Arachnophobia,2.81,53
2710,"Blair Witch Project, The",2.8,64
2054,"Honey, I Shrunk the Kids",2.76,68
1544,"Lost World: Jurassic Park, The",2.75,67
19,Ace Ventura: When Nature Calls,2.73,88
788,"Nutty Professor, The",2.73,82
3977,Charlie's Angels,2.72,72
420,Beverly Hills Cop III,2.72,59
3623,Mission: Impossible II,2.71,77
673,Space Jam,2.71,53
172,Johnny Mnemonic,2.68,53
173,Judge Dredd,2.67,62
432,City Slickers II: The Legend of Curly's Gold,2.65,55
435,Coneheads,2.42,63
2701,Wild Wild West,2.21,53
