m1,m2,common_users
296,750,52
296,1200,52
296,7438,52
318,912,52
356,6539,52
364,595,52
457,588,52
457,1196,52
457,2028,52
480,780,52
480,858,52
480,1270,52
527,1704,52
527,2329,52
527,3147,52
593,912,52
593,4973,52
858,1240,52
1089,1210,52
1136,2858,52
1197,2959,52
1213,2028,52
1214,1291,52
1265,2959,52
1270,2028,52
1270,2959,52
1291,2959,52
1704,2858,52
2502,2959,52
2571,7438,52
2571,33794,52
2858,3578,52
2959,4995,52
4226,79132,52
4886,5952,52
4886,7153,52
6377,7153,52
1,32,51
1,1265,51
32,608,51
32,1210,51
47,457,51
47,1221,51
50,293,51
50,1197,51
50,1265,51
50,1270,51
50,1704,51
110,1291,51
110,3578,51
110,4993,51
150,2571,51
296,4995,51
318,380,51
318,1206,51
318,4963,51
318,5989,51
356,380,51
356,1214,51
356,1291,51
356,1682,51
356,5989,51
364,589,51
457,1198,51
480,1240,51
527,1221,51
527,1270,51
588,1196,51
593,6874,51
593,48516,51
608,1206,51
608,4226,51
858,1704,51
1089,1206,51
1196,2716,51
1196,58559,51
1198,2115,51
1198,4226,51
1198,4306,51
1200,1210,51
1200,2028,51
1210,1221,51
1258,2959,51
1265,2028,51
1732,2571,51
2329,4993,51
2329,7153,51
2571,4878,51
2858,4993,51
4306,8961,51
4993,7361,51
5952,6377,51
5952,79132,51
7153,48516,51
1,7153,50
32,480,50
47,293,50
50,778,50
50,1136,50
50,5952,50
50,6874,50
50,58559,50
110,588,50
111,858,50
260,1222,50
260,1580,50
260,6539,50
260,79132,50
296,1682,50
296,4878,50
318,8961,50
356,1222,50
356,1240,50
356,4886,50
356,4973,50
364,527,50
364,2571,50
380,589,50
480,590,50
527,1089,50
527,1193,50
527,1214,50
527,7361,50
541,608,50
589,608,50
593,778,50
593,1200,50
608,2762,50
750,858,50
858,5952,50
1036,1214,50
1036,1240,50
1036,1291,50
1080,1136,50
1089,2762,50
1097,2571,50
1136,1210,50
1196,6539,50
1214,2762,50
1258,2571,50
1270,2858,50
1732,2959,50
2028,4226,50
2329,7361,50
2571,2716,50
2571,3996,50
2959,3949,50
4226,6874,50
4306,4995,50
4995,7153,50
5952,58559,50
33794,58559,50
